Tag,When,Title,Authors,Conference,Location,Why
talk,11/18/2019,A synthesis of fire regimes in the southwestern United States,"Guiterman, C., S. Malevich, E. Margolis, C. Baisan, E. Bigio, P. Brown, D. Falk, P. Fulé, and T. Swetnam",8th International Fire Ecology and Management Congress,"Tucson, AZ",
seminar,3/25/2020,"Unearthing the story of JPB-99, the Plaza Tree of Pueblo Bonito",,Laboratory of Tree-Ring Research seminar series,via Zoom,
seminar,4/12/2012,Three seasons of FIA adventures in the Pacific Northwest,,Southern Arizona Chapter of the Society of American Foresters,"Tucson, AZ",
talk,8/3/2020,"Modern area burned in a historical context in the Jemez Mountains, New Mexico","Margolis, E., C. Farris, C. D. Allen, L. Johnson, D. Falk, T. Swetnam, and C. Guiterman",ESA Virtual Meeting,Online,
seminar,9/28/2020,dfoliatR empowers analyses of forest defoliator outbreak chronologies,"Guiterman, C., Lynch, A, and Axelson, J.",Laboratory of Tree-Ring Research seminar series,via Zoom,
talk,12/1/2020,Fire and climate in the eastern Siberia over the past 500 years (1500-2010 CE),"Xu, G., Guiterman, C., Swetnam, T., Trouet, V., Anchukaitis, K., and Baisan, C.",AGU Fall Meeting,Online,
talk,12/14/2021,The seasonal impact of climate on wildfire in the American Southwest (1600-1900),"Groeneveld, D., Morrill, C., Gross, W., Guiterman, C., and Margolis, E.",AGU Fall Meeting,"New Orleans, LA",Daniel Groeneveld is an undergraduate intern at NOAA's National Centers for Environmental Information
talk,8/4/2021,The North American tree-ring fire-scar network,"Margolis, E. and Guiterman, C.",ESA Virtual Meeting,Online,
seminar,9/16/2021,Tracing the origins of Chacoan beams,,Crow Canyon Archaeological Center,Available on YouTube: https://www.youtube.com/watch?v=8CdqcYmrI6o&t=4048s,
talk,12/1/2021,"Drivers, types, and management responses to vegetation type conversions in the US Southwest","Guiterman, C.H., Gregg, R.M., Marshall, L.A.E., Beckmann, J.J., van Mantgem, P., Falk, D.A., and Keeley, J.E.",AFE Fire Congress,Online,
talk,12/1/2021,The North American tree-ring fire-scar network,"Margolis, E., Guiterman, C. and 84 co-authors",AFE Fire Congress,Online,
talk,12/1/2021,Mechanisms of forest resilience,"Falk, D.A., van Mantgem, P., Keeley, J.E., Guiterman, C.H., Gregg, R.M., Marshall, L.A.E., Tepley, A., and Young, D.",AFE Fire Congress,Online,
talk,12/1/2021,Quantifying fire regime divergence at tree-ring fire history sites in dry forests of the American southwest,"McClure, E.J., Coop, J.D., Guiterman, C.H., Margolis, E.Q., and Parks, S.A.",AFE Fire Congress,Online,Emma McClure is a Masters student at Western Colorado University
talk,6/28/2022,Historical diversity of fire regimes across Arizona and New Mexico,"Guiterman, C.H. and Margolis, E.Q.",Ameridendro 2022,"Montreal, Canada",
seminar,9/21/2022,Vegetation type conversion in the US Southwest: Frontline observations and management responses,"Guiterman, C.H.",Southwest Fire Science Consortium ,Online,
talk,6/24/2023,Groves of stories: Dendrochronology of culturally-modified trees on the Navajo Nation,"Guiterman, C.H. and Campbell, W.",Dine Studies Conference,"Farmington, NM",Delivered by W. Campbell
talk,12/12/2022,Blending paleoclimate data with observations for a long-term perspective on hydroclimatic extremes," Morrill, C., E. Gille, C.H. Guiterman, A.E. Lawman, C. Payne, I. Durre, R.S. Vose",AGU Fall Meeting,"Chicago, IL",
talk,12/5/2023,A gridded dataset of historical fire activity for North America,"Guiterman, C., Payne, C., Lonergan, M., Margolis, E., Wion, A., Parks, S., Loehman. R.",Association for Fire Ecology Annual Fire Congress,"Monterey, CA",
talk,12/5/2023,The geography of historical fire-climate relationships in North America,"Margolis, E., Wion, A., Guiterman, C., Parks, S. (",Association for Fire Ecology Annual Fire Congress,"Monterey, CA",
talk,12/5/2023,How do fire intervals scale with area? Observations and implications for fire ecology,"Falk, D., Portier, J., Guiterman, C.",Association for Fire Ecology Annual Fire Congress,"Monterey, CA",
talk,12/5/2023,A multi-century perspective reveals a pervasive fire deficit across most of North America,"Parks, S., Guiterman, C., Margolis, E.",Association for Fire Ecology Annual Fire Congress,"Monterey, CA",
talk,12/5/2023,Braiding Knowledges to Reconstruct Human-Fire Relationships in Maine,"Landrum, M., Hamley, K., Hudson, R., Guiterman, C., Newsom, B., Gill, J.",Association for Fire Ecology Annual Fire Congress,"Monterey, CA",
poster,12/5/2023,"Tree recruitment dynamics in a frequently burned, old-growth longleaf pine forest, Thomasville, Georgia","Guiterman, C. Rother, M., Wilson, J., Huffman, J.",Association for Fire Ecology Annual Fire Congress,"Monterey, CA",
talk,3/17/2024,Reconstructing Human-Fire-Vegetation Relationships In Maine,"Landrum, M., Hamley, K., Hudson, R., Guiterman, C., Newsom, B., Sockalexis, C., Gill, J.",Northeastern Section of the Geological Society of America,"Manchester, NH",
poster,4/20/2024,"Developing a Tree-Ring Fire History for the Albany Pine Bush Preserve, Albany, New York","Gifford, A., Guiterman, C.",Northeast Natural History Conference,"Albany, NY",
